delay_us,autocorr_H_db,crosscorr_HV_db
-9.438070e+00,-1.400000e+02,-1.400000e+02
-9.434001e+00,-1.400000e+02,-1.400000e+02
-9.429932e+00,-1.400000e+02,-1.400000e+02
-9.425863e+00,-1.400000e+02,-1.400000e+02
-9.421794e+00,-1.400000e+02,-1.400000e+02
-9.417725e+00,-1.400000e+02,-1.400000e+02
-9.413656e+00,-1.400000e+02,-1.400000e+02
-9.409587e+00,-1.400000e+02,-1.400000e+02
-9.405518e+00,-1.400000e+02,-1.400000e+02
-9.401449e+00,-1.400000e+02,-1.400000e+02
-9.397380e+00,-1.400000e+02,-1.400000e+02
-9.393311e+00,-1.400000e+02,-1.400000e+02
-9.389242e+00,-1.400000e+02,-1.400000e+02
-9.385173e+00,-1.400000e+02,-1.400000e+02
-9.381104e+00,-1.400000e+02,-1.400000e+02
-9.377035e+00,-1.400000e+02,-1.400000e+02
-9.372965e+00,-1.400000e+02,-1.400000e+02
-9.368896e+00,-1.400000e+02,-1.400000e+02
-9.364827e+00,-1.400000e+02,-1.400000e+02
-9.360758e+00,-1.400000e+02,-1.400000e+02
-9.356689e+00,-1.400000e+02,-1.400000e+02
-9.352620e+00,-1.400000e+02,-1.400000e+02
-9.348551e+00,-1.400000e+02,-1.400000e+02
-9.344482e+00,-1.400000e+02,-1.400000e+02
-9.340413e+00,-1.400000e+02,-1.400000e+02
-9.336344e+00,-1.400000e+02,-1.400000e+02
-9.332275e+00,-1.400000e+02,-1.400000e+02
-9.328206e+00,-1.400000e+02,-1.400000e+02
-9.324137e+00,-1.400000e+02,-1.400000e+02
-9.320068e+00,-1.400000e+02,-1.400000e+02
-9.315999e+00,-1.400000e+02,-1.400000e+02
-9.311930e+00,-1.400000e+02,-1.400000e+02
-9.307861e+00,-1.400000e+02,-1.400000e+02
-9.303792e+00,-1.400000e+02,-1.400000e+02
-9.299723e+00,-1.400000e+02,-1.400000e+02
-9.295654e+00,-1.400000e+02,-1.400000e+02
-9.291585e+00,-1.400000e+02,-1.400000e+02
-9.287516e+00,-1.400000e+02,-1.400000e+02
-9.283447e+00,-1.400000e+02,-1.400000e+02
-9.279378e+00,-1.400000e+02,-1.400000e+02
-9.275309e+00,-1.400000e+02,-1.400000e+02
