delay_ms,lfm_db,kaiser_db,fosm_db
-45.2083,-32.1868,-41.8813,-41.9206
-45.1667,-34.9790,-35.4971,-35.4950
-45.1250,-75.5422,-60.3216,-60.6858
-45.0833,-34.8577,-35.0616,-35.0680
-45.0417,-32.2100,-42.9877,-42.9441
-45.0000,-36.1023,-36.5035,-36.5215
-44.9583,-52.4215,-36.6701,-36.6568
-44.9167,-34.8657,-41.7928,-41.8401
-44.8750,-33.1322,-34.2572,-34.2570
-44.8333,-37.7621,-54.6959,-54.4778
-44.7917,-50.7571,-34.5118,-34.5232
-44.7500,-35.8959,-38.3575,-38.3324
-44.7083,-34.1545,-38.1901,-38.2216
-44.6667,-38.1808,-34.4975,-34.4925
-44.6250,-56.1123,-54.8007,-55.0471
-44.5833,-36.6309,-34.1780,-34.1856
-44.5417,-33.9928,-40.9735,-40.9334
-44.5000,-37.2979,-36.9607,-36.9850
-44.4583,-56.0764,-35.7017,-35.6913
-44.4167,-35.3842,-46.0496,-46.1365
-44.3750,-32.9746,-34.5497,-34.5530
-44.3333,-37.6446,-45.7322,-45.6557
-44.2917,-44.7553,-36.0296,-36.0473
-44.2500,-33.3509,-37.1977,-37.1794
-44.2083,-32.9011,-41.6035,-41.6552
-44.1667,-41.9378,-34.5165,-34.5155
-44.1250,-38.3640,-52.5578,-52.3649
-44.0833,-32.6456,-34.8881,-34.9023
-44.0417,-34.7698,-37.4601,-37.4358
-44.0000,-57.8107,-39.7460,-39.7922
-43.9583,-36.2342,-33.8344,-33.8324
-43.9167,-33.5127,-51.9567,-51.7534
-43.8750,-37.6026,-34.3847,-34.4004
-43.8333,-52.3447,-36.4251,-36.4029
-43.7917,-35.9406,-40.7206,-40.7780
-43.7500,-34.1745,-33.5049,-33.5054
-43.7083,-39.2193,-46.2740,-46.1679
-43.6667,-45.6891,-35.1086,-35.1289
-43.6250,-34.4672,-35.7734,-35.7562
-43.5833,-33.8060,-43.7113,-43.7938
-43.5417,-42.8382,-33.9366,-33.9401
-43.5000,-38.2357,-43.5906,-43.5175
-43.4583,-32.5686,-36.2060,-36.2308
-43.4167,-35.2459,-35.6171,-35.6027
-43.3750,-52.9262,-46.6395,-46.7570
-43.3333,-33.9735,-34.0830,-34.0889
-43.2917,-33.0374,-41.4066,-41.3501
-43.2500,-41.9880,-36.8104,-36.8418
-43.2083,-38.8960,-34.5170,-34.5072
-43.1667,-33.4205,-56.1325,-56.5303
-43.1250,-36.0111,-33.7574,-33.7694
-43.0833,-80.2942,-37.4370,-37.4034
-43.0417,-36.3216,-39.1414,-39.1952
-43.0000,-34.0149,-33.1805,-33.1796
-42.9583,-39.2085,-45.4158,-45.3008
-42.9167,-44.1558,-34.9318,-34.9569
-42.8750,-34.0201,-34.4881,-34.4731
-42.8333,-34.2607,-49.1521,-49.3445
-42.7917,-49.2937,-33.5003,-33.5106
-42.7500,-35.7696,-38.1518,-38.1120
-42.7083,-32.5766,-38.8307,-38.8819
-42.6667,-38.7521,-33.7444,-33.7418
-42.6250,-40.0958,-48.0855,-47.9292
-42.5833,-32.8289,-35.2079,-35.2314
-42.5417,-35.3817,-35.4962,-35.4770
-42.5000,-55.1340,-46.2639,-46.3998
-42.4583,-34.9174,-33.6858,-33.6939
-42.4167,-34.0895,-39.2185,-39.1688
-42.3750,-43.0800,-37.9383,-37.9861
-42.3333,-39.6115,-33.4182,-33.4142
-42.2917,-33.8599,-47.6306,-47.4639
-42.2500,-36.4508,-34.6462,-34.6724
-42.2083,-52.4365,-34.1813,-34.1648
-42.1667,-34.3616,-51.7893,-52.0911
-42.1250,-33.6172,-33.2040,-33.2183
-42.0833,-46.7967,-36.0702,-36.0378
-42.0417,-35.7152,-41.3246,-41.4114
-42.0000,-32.6582,-32.8893,-32.8942
-41.9583,-40.1536,-39.6617,-39.6000
-41.9167,-38.6629,-37.3371,-37.3845
-41.8750,-33.0507,-33.4212,-33.4162
-41.8333,-37.1319,-47.5893,-47.4174
-41.7917,-45.9615,-35.1170,-35.1450
-41.7500,-34.4255,-34.6551,-34.6377
-41.7083,-35.0378,-52.9100,-53.2543
-41.6667,-52.3126,-33.7626,-33.7776
-41.6250,-36.2642,-36.5043,-36.4695
-41.5833,-33.4609,-41.7265,-41.8203
-41.5417,-41.1013,-32.9766,-32.9822
-41.5000,-38.0915,-38.9558,-38.8956
-41.4583,-32.6451,-37.6999,-37.7568
-41.4167,-37.8682,-32.6779,-32.6763
-41.3750,-40.2938,-42.2335,-42.1317
-41.3333,-32.8531,-35.6705,-35.7120
-41.2917,-36.5728,-32.8734,-32.8655
-41.2500,-44.9868,-47.4446,-47.2470
-41.2083,-33.9835,-34.6063,-34.6382
-41.1667,-35.4739,-33.5766,-33.5619
-41.1250,-73.7172,-64.6687,-63.3044
-41.0833,-35.3315,-33.9976,-34.0212
-41.0417,-34.0686,-34.7339,-34.7103
-41.0000,-46.4516,-49.5704,-49.8317
-40.9583,-36.0262,-33.5125,-33.5283
-40.9167,-32.9864,-36.1539,-36.1178
-40.8750,-42.6285,-42.8607,-42.9797
-40.8333,-36.3767,-33.0064,-33.0155
-40.7917,-32.8482,-37.5025,-37.4510
-40.7500,-41.5569,-39.6117,-39.6939
-40.7083,-37.6598,-32.5411,-32.5455
-40.6667,-33.4235,-38.4970,-38.4314
-40.6250,-39.8698,-37.9834,-38.0523
-40.5833,-40.3992,-32.2863,-32.2879
-40.5417,-33.6679,-39.2197,-39.1433
-40.5000,-37.5075,-37.2959,-37.3590
-40.4583,-42.8486,-32.3556,-32.3554
-40.4167,-33.1442,-40.1150,-40.0281
-40.3750,-36.2601,-36.9850,-37.0437
-40.3333,-42.6999,-32.6834,-32.6809
-40.2917,-32.8476,-41.5978,-41.4934
-40.2500,-36.5609,-36.5574,-36.6099
-40.2083,-42.4853,-33.0039,-32.9983
-40.1667,-33.4207,-43.5877,-43.4527
-40.1250,-36.9614,-35.8727,-35.9194
-40.0833,-44.7437,-33.0205,-33.0122
-40.0417,-33.9536,-45.0694,-44.9003
-40.0000,-36.1636,-35.2334,-35.2774
-39.9583,-46.8881,-32.7089,-32.6997
-39.9167,-33.4384,-44.7315,-44.5608
-39.8750,-35.6013,-35.0466,-35.0923
-39.8333,-44.2984,-32.3649,-32.3570
-39.7917,-32.9267,-43.0799,-42.9364
-39.7500,-36.5580,-35.4676,-35.5184
-39.7083,-41.9663,-32.2898,-32.2841
-39.6667,-33.3676,-41.6370,-41.5185
-39.6250,-37.7174,-36.2547,-36.3117
-39.5833,-42.2215,-32.4919,-32.4883
-39.5417,-33.6657,-40.9712,-40.8654
-39.5000,-37.5392,-36.8999,-36.9619
-39.4583,-41.4586,-32.6602,-32.6579
-39.4167,-32.9803,-40.5465,-40.4469
-39.3750,-38.2059,-37.2040,-37.2705
-39.3333,-38.4818,-32.4869,-32.4865
-39.2917,-32.8154,-39.4095,-39.3213
-39.2500,-41.3917,-37.7067,-37.7834
-39.2083,-36.9623,-32.0982,-32.1016
-39.1667,-33.6123,-37.4852,-37.4156
-39.1250,-44.4667,-39.2895,-39.3907
-39.0833,-36.6450,-31.9481,-31.9575
-39.0417,-33.7680,-35.6492,-35.5980
-39.0000,-47.0564,-42.7216,-42.8810
-38.9583,-35.0903,-32.3194,-32.3360
-38.9167,-33.7225,-34.5048,-34.4671
-38.8750,-72.8689,-48.8921,-49.2211
-38.8333,-33.6384,-33.0491,-33.0734
-38.7917,-35.2937,-33.9237,-33.8954
-38.7500,-45.6230,-64.9009,-67.2017
-38.7083,-33.6511,-33.7221,-33.7542
-38.6667,-37.2996,-33.3487,-33.3278
-38.6250,-42.0359,-52.2986,-51.8338
-38.5833,-33.3897,-34.3196,-34.3618
-38.5417,-38.8940,-32.5080,-32.4957
-38.5000,-37.9733,-43.4861,-43.3150
-38.4583,-32.9172,-35.5425,-35.6027
-38.4167,-45.0298,-31.8121,-31.8100
-38.3750,-34.9778,-38.3074,-38.2191
-38.3333,-34.1417,-38.4024,-38.5001
-38.2917,-61.3862,-31.7999,-31.8092
-38.2500,-34.2526,-35.3508,-35.2986
-38.2083,-35.8499,-44.2611,-44.4666
-38.1667,-45.6080,-32.5474,-32.5691
-38.1250,-33.3525,-33.8715,-33.8390
-38.0833,-37.8349,-63.4805,-65.5697
-38.0417,-38.3441,-33.6690,-33.7044
-38.0000,-32.9116,-32.9866,-32.9676
-37.9583,-45.6421,-47.2520,-46.9753
-37.9167,-34.9717,-35.0074,-35.0611
-37.8750,-34.5269,-32.1514,-32.1450
-37.8333,-54.5261,-39.7625,-39.6507
-37.7917,-34.0328,-37.5180,-37.6073
-37.7500,-36.4754,-31.6815,-31.6891
-37.7083,-41.7933,-35.3419,-35.2854
-37.6667,-32.9685,-44.1888,-44.4091
-37.6250,-41.0776,-32.2555,-32.2803
-37.5833,-35.7108,-32.9586,-32.9304
-37.5417,-33.7414,-53.0653,-52.4799
-37.5000,-61.3218,-34.1937,-34.2421
-37.4583,-33.9231,-32.1119,-32.1025
-37.4167,-36.6168,-40.4250,-40.2992
-37.3750,-41.9175,-37.4497,-37.5370
-37.3333,-33.3069,-32.0631,-32.0691
-37.2917,-41.2273,-36.1580,-36.0945
-37.2500,-35.7969,-43.2038,-43.3967
-37.2083,-33.7096,-32.4142,-32.4374
-37.1667,-53.8213,-33.3659,-33.3338
-37.1250,-33.3621,-57.7168,-56.7052
-37.0833,-37.7178,-33.8312,-33.8795
-37.0417,-39.1477,-31.6837,-31.6749
-37.0000,-33.5658,-39.0418,-38.9283
