delay_us,lfm_db,tangent_db,kaiser_posp_db,fosm_db
-3.499349e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.495280e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.491211e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.487142e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.483073e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.479004e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.474935e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.470866e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.466797e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.462728e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.458659e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.454590e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.450521e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.446452e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.442383e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.438314e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.434245e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.430176e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.426107e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.422038e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.417969e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.413900e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.409831e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.405762e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.401693e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.397624e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.393555e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.389486e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.385417e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.381348e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.377279e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.373210e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.369141e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.365072e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.361003e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.356934e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.352865e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.348796e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.344727e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.340658e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.336589e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.332520e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.328451e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.324382e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.320313e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.316243e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.312174e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.308105e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.304036e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.299967e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.295898e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.291829e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.287760e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.283691e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.279622e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.275553e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.271484e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.267415e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.263346e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.259277e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.255208e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.251139e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.247070e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.243001e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.238932e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.234863e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.230794e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.226725e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.222656e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.218587e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.214518e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.210449e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.206380e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.202311e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.198242e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.194173e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.190104e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.186035e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.181966e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.177897e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.173828e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.169759e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.165690e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.161621e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.157552e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.153483e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.149414e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.145345e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.141276e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.137207e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.133138e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.129069e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.125000e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.120931e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.116862e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.112793e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.108724e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.104655e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.100586e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.096517e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.092448e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.088379e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.084310e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.080241e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.076172e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.072103e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.068034e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.063965e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.059896e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.055827e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.051758e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.047689e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.043620e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.039551e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.035482e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.031413e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.027344e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.023275e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.019206e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.015137e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.011068e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.006999e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-3.002930e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.998861e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.994792e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.990723e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.986654e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.982585e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.978516e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.974447e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.970378e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.966309e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.962240e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.958171e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.954102e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.950033e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.945964e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.941895e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.937826e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.933757e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.929688e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.925618e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.921549e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.917480e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.913411e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.909342e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.905273e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.901204e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.897135e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.893066e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.888997e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.884928e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.880859e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.876790e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.872721e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.868652e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.864583e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.860514e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.856445e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.852376e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.848307e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.844238e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.840169e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.836100e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.832031e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.827962e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.823893e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.819824e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.815755e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.811686e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.807617e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.803548e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.799479e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.795410e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.791341e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.787272e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.783203e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.779134e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.775065e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.770996e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.766927e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.762858e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.758789e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.754720e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.750651e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
-2.746582e+00,-1.400000e+02,-1.400000e+02,-1.400000e+02,-1.400000e+02
